id,country_code
15455,ug
15467,ar
15469,in
15470,id
15485,de
15486,ch
15489,dk
15491,ke
15492,in
15495,it
16626,de
16627,fr
16628,ro
16629,in
16631,cn
16632,gb
52090,us
16634,ua
16635,jp
16636,hu
16640,hr
16643,au
16645,us
16692,jp
16696,it
16697,cn
16700,hu
16701,in
16703,lv
16707,no
16709,ro
16711,us
16713,nz
16715,es
16717,za
16719,us
16720,us
16725,pt
16726,it
16727,fr
16729,fr
16736,us
16737,ie
16738,au
16740,in
16742,cz
16747,fr
36592,no
16759,in
16762,it
16766,au
16804,ne
16805,fr
16820,mw
16841,in
16851,lk
16874,bd
16875,au
16882,us
16885,in
16889,bf
16890,jp
16892,in
16893,sk
16898,eg
16899,th
16902,in
16903,cn
16904,us
16907,cn
16908,in
16909,ir
16912,au
16922,fr
16927,in
16934,jp
16935,in
16941,et
16945,lv
16950,at
16953,us
16954,sd
16960,us
16966,id
16968,ml
16976,kz
16977,ru
16980,cn
16981,cn
16982,jp
16983,za
16984,us
16985,us
16988,jp
16989,ar
16994,us
17922,us
17930,it
17933,ru
17935,lt
17936,mn
17938,mx
17959,es
17960,jp
17969,mm
17970,hu
17979,ru
17988,de
17989,ee
17990,hu
17994,jp
17995,ro
17996,ng
17997,es
17998,jp
18000,jp
18002,ua
18009,de
18013,es
18015,es
18019,ru
18026,fr
34489,us
18030,fr
18033,de
18034,it
18042,no
18045,jp
18046,us
56729,bf
18050,ma
31282,ma
18052,pt
18055,na
18058,es
18068,mx
18069,lt
18072,ph
18074,ar
18077,cn
18079,us
18082,us
18093,ph
18098,ph
18101,us
18102,br
18103,br
18106,us
18108,in
18109,in
18110,us
18112,in
18116,br
18118,it
18171,bd
18173,bg
18175,kz
18176,ua
18177,ru
18180,ca
18181,de
18782,us
18786,us
18792,tz
18793,bd
18797,gb
18798,ru
18799,ru
18800,ne
18801,us
18808,us
18809,vn
18811,kh
18812,vn
18813,it
18822,ee
18831,in
18832,za
18834,bd
18835,in
18837,us
18846,us
51706,ro
18849,cz
18851,kh
18853,de
18858,in
18860,no
18865,gb
18874,us
18876,pt
18879,cn
18883,at
18887,cz
18888,us
45984,es
18899,in
18901,pl
18902,in
18905,br
18907,cn
18908,cn
22357,ls
22358,mm
22360,es
22361,cn
22363,fr
22368,ar
22371,in
31302,pk
22376,ru
22384,in
22385,in
22386,de
22387,in
22390,mx
22392,in
22394,cn
22395,sa
22396,bg
22398,pl
53502,us
22584,es
22585,id
22586,it
22587,ar
22589,cn
22590,ru
22592,ca
22593,in
22597,us
24140,ar
22599,us
22602,us
22603,us
22611,br
22614,it
22637,us
22640,au
22641,es
22642,de
22766,us
22773,gb
22780,rw
22782,ke
22783,tz
22791,ua
22792,in
22793,in
23101,fr
23102,fr
23103,jp
23107,us
23111,fr
23114,de
23115,in
23128,us
31315,it
23130,cl
34063,mx
23161,br
23164,mx
23165,ar
50909,ar
23171,br
23176,ru
23187,jp
23188,fr
23190,ua
23192,jp
23455,cz
23457,pl
23458,us
23460,de
23472,us
23473,tr
23476,in
23481,id
23483,dz
23487,in
23495,es
23496,jp
23500,in
23501,gr
23502,br
23504,br
23508,es
23509,ru
23512,tn
23521,in
23525,us
23529,ca
23530,in
23531,cn
23534,in
23582,cn
23583,in
23584,bd
23586,it
23593,ru
23594,mx
55584,bg
23603,de
23606,eg
23611,pk
23613,it
23614,us
23616,in
23617,tr
23619,cn
23621,no
23626,hr
